Title,Year,Director,Runtime (mins.),Country,Rating on FA,Number of ratings
Lawrence of Arabia,1962,David Lean,222,Reino Unido,8.0,46984
The Social Network,2010,David Fincher,120,Estados Unidos,6.8,95138
The Karate Kid,1984,John G. Avildsen,126,Estados Unidos,6.1,59822
Café Society,2016,Woody Allen,96,Estados Unidos,6.4,24081
Y tu mamá también,2001,Alfonso Cuarón,105,México,6.6,36661
La Grande Bellezza,2013,Paolo Sorrentino,142,Italia,7.4,36518
Tangerine,2015,Sean Baker,88,Estados Unidos,6.8,3614
Mandy,2018,Panos Cosmatos,121,Estados Unidos,5.7,7820
Malcolm and Marie,2021,Sam Levinson,106,Estados Unidos,6.4,4050
28 Days Later,2002,Danny Boyle,113,Reino Unido,6.7,75189
Seven Samurai,1954,Akira Kurosawa,205,Japón,8.4,42447
Pokémon: Mewtwo contraataca,1998,Kunihiko Yuyama,98,Japón,4.9,792
Groundhog Day,1993,Harold Ramis,101,Estados Unidos,7.4,73912
Promising Young Woman,2020,Emerald Fennell,113,Reino Unido,6.9,17316
Make Happy,2016,Bo Burnham,60,Estados Unidos,7.5,1119
Inside,2021,Bo Burnham,125,España,7.2,101372
I Origins,2014,Mike Cahill,113,Estados Unidos,6.7,23948
My Octopus Teacher,2020,Pippa Ehrlich,85,Sudáfrica,7.3,9461
La librería,2017,Isabel Coixet,90,Reino Unido,4.2,105
Spider-man,2002,Sam Raimi,121,Estados Unidos,6.4,93763
Spider-man 2,2004,Sam Raimi,127,Estados Unidos,6.2,91978
Dune,1984,David Lynch,155,Estados Unidos,7.2,36342
12 Monkeys,1995,Terry Gilliam,130,Estados Unidos,7.4,118996
Arrival,2016,Denis Villeneuve,116,Estados Unidos,7.3,65084
Vivarium,2019,Lorcan Finnegan,97,Irlanda,5.7,10177
Bleu,1993,Krzysztof Kieślowski,98,Francia,7.4,42438
Dune,2021,Denis Villeneuve,155,Estados Unidos,7.2,36342
Goodnight Mommy,2014,Veronika Franz,92,Estados Unidos,5.3,1166
Vertigo,1958,Alfred Hitchcock,120,Estados Unidos,8.2,70937
Hausu,1977,Nobuhiko Obayashi,88,Japón,6.3,1994
The Killing of a Sacred Deer,2017,Yorgos Lanthimos,121,Reino Unido,6.6,18651
Tesis,1996,Alejandro Amenábar,125,España,7.7,95187
El séptimo sello,1957,Ingmar Bergman,96,Suecia,8.1,34871
The Straight Story,1999,David Lynch,111,Estados Unidos,7.8,42322
Last Night in Soho,2021,Edgar Wright,118,Reino Unido,6.6,12679
È stata la mano di Dio,2021,Paolo Sorrentino,130,Italia,7.1,13590
Spider-Man: No Way Home,2021,Jon Watts,148,Estados Unidos,7.1,26226
House of Gucci,2021,Ridley Scott,157,Estados Unidos,6.2,12153
